country_code,updated_at,median_income_2020_usd,mean_income_2020_usd,gdp_ppp_usd,glassdoor_software_engineer_usd
lu,2025-05-01T23:59:59,26321,31376,143342,77777
ie,2025-05-01T23:59:59,14520,17938,127623,72221
no,2025-05-01T23:59:59,22684,25272,104460,68233
ch,2025-05-01T23:59:59,21490,25787,92980,131900
ae,2025-05-01T23:59:59,24292,27107,83903,
us,2025-05-01T23:59:59,19306,25332,81695,160899
nl,2025-05-01T23:59:59,17154,19690,78215,86888
is,2025-05-01T23:59:59,17017,19300,77567,80868
dk,2025-05-01T23:59:59,17432,20304,76688,89624
at,2025-05-01T23:59:59,18405,20718,73751,71110
be,2025-05-01T23:59:59,16157,17917,70456,49892
se,2025-05-01T23:59:59,17625,20193,70207,60137
de,2025-05-01T23:59:59,16845,19730,69338,83332
au,2025-05-01T23:59:59,17076,21329,69115,81659
fi,2025-05-01T23:59:59,16332,18742,65061,61906
mt,2025-05-01T23:59:59,14543,16509,62446,
ca,2025-05-01T23:59:59,18652,22042,61582,72110
fr,2025-05-01T23:59:59,16372,19409,61157,58888
gb,2025-05-01T23:59:59,14793,18133,58906,69594
it,2025-05-01T23:59:59,13170,15547,58755,38888
cy,2025-05-01T23:59:59,13053,15663,57101,35971
gy,2025-05-01T23:59:59,2003,2729,55263,
sk,2025-05-01T23:59:59,7991,8408,54948,31199
si,2025-05-01T23:59:59,11878,13056,54948,35559
kr,2025-05-01T23:59:59,12507,14316,54033,
cz,2025-05-01T23:59:59,10046,11394,53817,45396
il,2025-05-01T23:59:59,10866,13271,53434,
es,2025-05-01T23:59:59,11786,13822,52779,47777
lt,2025-05-01T23:59:59,8267,10479,51877,48999
jp,2025-05-01T23:59:59,14255,17095,50207,
pl,2025-05-01T23:59:59,8885,10155,49464,45931
ee,2025-05-01T23:59:59,10651,12540,48992,53439
pt,2025-05-01T23:59:59,8439,10316,48759,29066
ro,2025-05-01T23:59:59,5206,5949,47903,28232
hu,2025-05-01T23:59:59,7684,8613,45942,30883
hr,2025-05-01T23:59:59,7196,8008,45910,20416
tr,2025-05-01T23:59:59,5251,7267,44151,23014
ru,2025-05-01T23:59:59,5504,7275,44104,32076
lv,2025-05-01T23:59:59,7971,9727,42501,37172
gr,2025-05-01T23:59:59,6936,8131,41187,21333
pa,2025-05-01T23:59:59,6254,9453,39695,
kz,2025-05-01T23:59:59,3661,4313,39333,
bg,2025-05-01T23:59:59,5696,7474,38690,31872
my,2025-05-01T23:59:59,7512,10200,37248,
uy,2025-05-01T23:59:59,7533,9888,34062,
cl,2025-05-01T23:59:59,6293,9304,33285,
sc,2025-05-01T23:59:59,5314,8044,32694,
tt,2025-05-01T23:59:59,2868,3711,31572,
me,2025-05-01T23:59:59,4193,5123,31216,32106
by,2025-05-01T23:59:59,6507,7359,30752,
mu,2025-05-01T23:59:59,3832,4969,29499,
ar,2025-05-01T23:59:59,5319,6935,29363,
cr,2025-05-01T23:59:59,5457,8440,27953,
rs,2025-05-01T23:59:59,4416,5252,27402,28279
do,2025-05-01T23:59:59,4060,5873,25611,
mx,2025-05-01T23:59:59,3315,4929,25602,
lc,2025-05-01T23:59:59,4519,6946,25129,
mk,2025-05-01T23:59:59,3857,4279,24873,15988
mv,2025-05-01T23:59:59,5409,6435,24809,
ge,2025-05-01T23:59:59,2273,2814,24681,
cn,2025-05-01T23:59:59,2525,4246,24558,
az,2025-05-01T23:59:59,1393,3851,23686,
th,2025-05-01T23:59:59,4356,5670,23423,
am,2025-05-01T23:59:59,2216,2810,23055,
ba,2025-05-01T23:59:59,5925,7131,22846,17445
ga,2025-05-01T23:59:59,2779,3544,21947,
co,2025-05-01T23:59:59,3259,5201,21548,
al,2025-05-01T23:59:59,2578,3141,21395,16984
sr,2025-05-01T23:59:59,1659,2593,21047,
br,2025-05-01T23:59:59,4559,7654,20584,
bw,2025-05-01T23:59:59,1596,2907,19383,
eg,2025-05-01T23:59:59,1485,1847,18817,
mn,2025-05-01T23:59:59,2800,3409,18108,
ua,2025-05-01T23:59:59,4434,5010,18008,40452
ir,2025-05-01T23:59:59,4360,5924,17922,
py,2025-05-01T23:59:59,4334,6373,17466,
md,2025-05-01T23:59:59,3133,3590,17384,19908
tm,2025-05-01T23:59:59,706,963,17100,
dz,2025-05-01T23:59:59,2612,2996,17027,
pe,2025-05-01T23:59:59,3678,4977,16717,
ec,2025-05-01T23:59:59,3525,5046,15870,
za,2025-05-01T23:59:59,1624,4081,15847,
id,2025-05-01T23:59:59,4200,2510,15613,
vn,2025-05-01T23:59:59,3149,3881,15194,
fj,2025-05-01T23:59:59,2460,3261,15047,
bt,2025-05-01T23:59:59,2446,3189,15022,
lk,2025-05-01T23:59:59,2277,3162,14455,
bz,2025-05-01T23:59:59,1927,3246,14195,
gt,2025-05-01T23:59:59,2036,3103,14067,
iq,2025-05-01T23:59:59,1951,2293,13969,
tn,2025-05-01T23:59:59,3366,4076,13682,
lb,2025-05-01T23:59:59,7712,9091,12853,
na,2025-05-01T23:59:59,1962,4023,12757,
sv,2025-05-01T23:59:59,3095,3989,12542,
sz,2025-05-01T23:59:59,1097,2091,11741,
jm,2025-05-01T23:59:59,2899,4429,11475,
ph,2025-05-01T23:59:59,1581,2199,10756,
bo,2025-05-01T23:59:59,3631,4787,10727,
jo,2025-05-01T23:59:59,3185,4025,10452,
in,2025-05-01T23:59:59,3900,1314,10176,
ma,2025-05-01T23:59:59,2716,3721,9743,
uz,2025-05-01T23:59:59,591,752,9725,
la,2025-05-01T23:59:59,1065,1389,9326,
cv,2025-05-01T23:59:59,2354,3326,9086,
bd,2025-05-01T23:59:59,1131,1414,9066,
ni,2025-05-01T23:59:59,2697,3913,8044,
ao,2025-05-01T23:59:59,665,1066,8041,
ci,2025-05-01T23:59:59,987,1358,7791,
gh,2025-05-01T23:59:59,1779,2422,7466,
hn,2025-05-01T23:59:59,1959,3109,7211,
dj,2025-05-01T23:59:59,1403,1869,7204,
kg,2025-05-01T23:59:59,1892,2235,7103,
to,2025-05-01T23:59:59,2782,3677,7016,
mr,2025-05-01T23:59:59,1760,2094,6934,
cg,2025-05-01T23:59:59,892,1375,6933,
ws,2025-05-01T23:59:59,2537,3418,6681,
ke,2025-05-01T23:59:59,874,1197,6324,
ng,2025-05-01T23:59:59,825,1021,6318,
pk,2025-05-01T23:59:59,1399,1797,6212,
st,2025-05-01T23:59:59,901,1620,6064,
mm,2025-05-01T23:59:59,1909,2296,5905,
ps,2025-05-01T23:59:59,3275,3964,5888,
tv,2025-05-01T23:59:59,2099,2802,5764,
cm,2025-05-01T23:59:59,1245,1841,5380,
np,2025-05-01T23:59:59,1155,1428,5182,
tl,2025-05-01T23:59:59,970,1147,5109,
tj,2025-05-01T23:59:59,1994,2437,5082,
sn,2025-05-01T23:59:59,844,1137,4833,
pg,2025-05-01T23:59:59,876,1162,4607,
gn,2025-05-01T23:59:59,843,1036,4429,
bj,2025-05-01T23:59:59,699,989,4248,
fm,2025-05-01T23:59:59,1413,1858,4217,
zm,2025-05-01T23:59:59,545,1045,4126,
tz,2025-05-01T23:59:59,702,992,3973,
zw,2025-05-01T23:59:59,932,1429,3900,
km,2025-05-01T23:59:59,1401,2050,3855,
ki,2025-05-01T23:59:59,1489,1858,3522,
rw,2025-05-01T23:59:59,621,925,3361,
vu,2025-05-01T23:59:59,1379,1781,3315,
ht,2025-05-01T23:59:59,1162,1540,3256,
gm,2025-05-01T23:59:59,1383,1784,3163,
tg,2025-05-01T23:59:59,683,964,3155,
sd,2025-05-01T23:59:59,1277,1592,3137,
et,2025-05-01T23:59:59,907,1107,3109,
ug,2025-05-01T23:59:59,804,1166,3098,
sb,2025-05-01T23:59:59,1028,1333,3035,
sy,2025-05-01T23:59:59,1996,2606,2915,
ls,2025-05-01T23:59:59,1157,1659,2794,
bf,2025-05-01T23:59:59,748,1002,2727,
ml,2025-05-01T23:59:59,689,861,2726,
gw,2025-05-01T23:59:59,486,797,2630,
td,2025-05-01T23:59:59,880,1182,1969,
mg,2025-05-01T23:59:59,398,567,1875,
mw,2025-05-01T23:59:59,484,733,1868,
sl,2025-05-01T23:59:59,765,1004,1847,
lr,2025-05-01T23:59:59,753,945,1819,
ne,2025-05-01T23:59:59,738,937,1817,
cd,2025-05-01T23:59:59,395,548,1671,
mz,2025-05-01T23:59:59,529,947,1657,
ss,2025-05-01T23:59:59,793,1121,1146,
cf,2025-05-01T23:59:59,491,891,1130,
bi,2025-05-01T23:59:59,475,640,951,
ye,2025-05-01T23:59:59,1150,1503,2095,
ve,2025-05-01T23:59:59,2710,3741,5990,
tw,2025-05-01T23:59:59,13605,16355,68730,
sa,2025-05-01T23:59:59,12851,16423,54992,
om,2025-05-01T23:59:59,11853,14878,46000,
nz,2025-05-01T23:59:59,22890,28612,48777,
qa,2025-05-01T23:59:59,16350,20437,115000,
ad,2025-05-01T23:59:59,20437,24525,68612,
hk,2025-05-01T23:59:59,17985,22890,75128,
sg,2025-05-01T23:59:59,24525,32700,84734,
kw,2025-05-01T23:59:59,14715,17985,49736,
pr,2025-05-01T23:59:59,13080,16350,49594,
je,2025-05-01T23:59:59,21255,26160,56600,
